city,zhvi,total_pop,med_income,med_age,male,female,race_w,race_aa,race_nat,race_as,race_api,race_oth,eth_hisp,eth_nonhisp,murder_mansl,rape,robbery,agg_assault,burglary,lar_theft,car_theft,arson,lat,long
Cissna Park,91162.42,1485,55298,48.2,761,724,1476,0,0,7,7,2,15,1470,0,0,0,0,0,0,0,0,40.5647578,-87.8930897
Claremont,88859.25,660,66250,40.1,325,335,648,32,7,5,0,0,7,653,0,0,0,0,0,0,0,0,38.7194921,-87.9714232
Clarendon Hills,576794.08,10109,106866,40.6,4929,5180,8951,103,187,999,29,179,1026,9083,0,0,0,7,9,31,2,0,41.7975307,-87.9547835
Clay City,57019.75,1711,45846,37.4,860,851,1711,0,6,0,0,0,0,1711,0,0,0,0,0,0,0,0,38.6886589,-88.354212
Clayton,72724.17,1076,44063,46.1,591,485,1064,0,10,0,0,2,0,1076,0,0,0,0,0,0,0,0,40.0314366,-90.9606897
Clifton,131081.5,2106,59716,45,1045,1061,2093,18,22,13,0,0,17,2089,0,0,0,0,0,0,0,0,40.9353109,-87.9344851
Clinton,91993.75,9826,53923,41.8,4869,4957,9549,89,126,4,0,186,415,9411,0,7,1,0,68,135,0,0,40.1536479,-88.9645253
Coal City,178043.17,9164,73245,36,4645,4519,8946,174,14,121,0,56,442,8722,0,0,0,0,0,0,0,0,41.2878097,-88.2856185
Coal Valley,177410.58,6138,72292,44.4,3085,3053,6014,86,50,35,10,78,212,5926,0,4,0,5,8,61,4,0,41.4286456,-90.4609648
Coatsburg,92033.58,466,57540,33.8,242,224,436,0,0,30,0,0,0,466,0,0,0,0,0,0,0,0,40.0328247,-91.1576405
Cobden,113430.17,3354,47557,45.1,1692,1662,3142,113,25,39,0,248,477,2877,0,1,0,5,0,8,0,0,37.5314386,-89.253418
Coffeen,63654.17,897,34250,48.4,465,432,886,0,14,0,0,0,0,897,0,0,0,0,0,0,0,0,39.0892128,-89.3906379
Colchester,54612.58,2337,40893,40.1,1188,1149,2337,0,15,0,0,0,1,2336,0,0,0,0,0,1,0,0,40.4264306,-90.7926324
Colfax,95007.83,1311,60333,41.5,594,717,1286,10,22,0,0,19,52,1259,0,0,0,0,0,0,0,0,40.5669788,-88.6164508
Collison,106399.33,134,52083,59.3,79,55,128,0,0,6,0,0,0,134,0,0,0,0,0,0,0,0,40.2250359,-87.8039159
Colona,127835.17,6827,64552,42.4,3532,3295,6798,304,29,33,0,14,829,5998,0,0,0,0,0,0,0,0,41.4839233,-90.3531827
Compton,95093.67,845,51477,37.1,357,488,696,16,15,4,0,123,169,676,0,0,0,0,0,0,0,0,41.6944753,-89.0812008
Concord,86359.83,273,39474,48.3,162,111,271,0,0,0,0,2,2,271,0,0,0,0,0,0,0,0,39.8167136,-90.3729016
Congerville,182785.17,1201,77813,39.6,614,587,1188,7,10,8,0,6,17,1184,0,0,0,0,0,0,0,0,40.6169813,-89.2042501
Cooksville,108584.75,301,65417,50.6,162,139,301,0,0,0,0,0,1,300,0,0,0,0,0,0,0,0,40.5430902,-88.7164546
Cordova,140774.08,1208,69867,52.4,635,573,1192,12,0,0,0,6,23,1185,0,0,0,0,0,0,0,0,41.6803099,-90.319018
Cornell,91016.17,1434,68194,42.6,792,642,1434,24,3,0,0,0,15,1419,0,0,0,0,0,0,0,0,40.9900326,-88.7292337
Cornland,71786,61,67102,58.7,29,32,61,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,39.937269,-89.4023173
Cortland,170664.42,4356,69694,30.5,2277,2079,3844,345,0,90,0,108,729,3627,0,0,0,2,5,23,0,0,41.9200288,-88.6886963
Cottage Hills,66474.58,3034,46722,42.3,1474,1560,2962,119,0,0,0,16,31,3003,0,0,0,0,0,0,0,0,38.9031029,-90.0701061
Country Club Hills,131889.33,17112,59104,39.9,7738,9374,1844,14822,17,424,0,157,1049,16063,3,11,21,36,68,468,53,1,41.5680898,-87.7203257
