Morrison,7007,3488,3519,6923,41,0,88,8,24,86,6921,57250,46.2,109525,0,2,0,8,12,48,1,0,41.809751,-89.9651186
Onarga,1614,840,774,1322,37,0,6,0,264,474,1140,55486,41.6,80316.92,0,0,0,2,6,5,1,0,40.715035,-88.0061509
Justice,15288,7105,8183,11405,3033,26,422,7,863,3310,11978,50371,32,211607.25,0,1,2,4,4,21,4,0,41.7444765,-87.8378337
Matteson,21554,9874,11680,4938,16210,192,499,24,335,1091,20463,73544,42.8,168761.58,0,0,0,0,0,0,0,0,41.5039235,-87.7131018
Milledgeville,1688,937,751,1670,66,28,0,0,6,81,1607,58315,40.1,91543.08,0,0,0,1,4,5,0,0,41.9633615,-89.7745604
Maquon,669,341,328,669,0,0,0,0,0,21,648,56354,54.3,72276.75,0,0,0,0,0,0,0,0,40.798927,-90.1656764
Aledo,5213,2527,2686,5118,54,10,58,0,11,80,5133,53859,46.8,94422.17,0,0,0,0,3,23,0,0,41.1997568,-90.7493063
Machesney Park,22574,11105,11469,21297,729,128,630,31,493,1340,21234,60213,38.9,115334.75,0,15,7,35,57,341,18,1,42.3472406,-89.0389956
Hampton,1962,1006,956,1886,116,0,7,0,3,139,1823,68485,40.2,141194.75,0,0,0,2,3,5,1,0,41.5558667,-90.4092971
Fox Lake,9827,4482,5345,9312,135,35,215,0,256,854,8973,57518,42.7,165690.42,0,4,3,10,33,215,8,0,42.3966874,-88.1836965
Leonore,77,39,38,71,0,0,0,0,6,6,71,66250,38.8,61663.83,0,0,0,0,0,0,0,0,41.1894788,-88.9806354
Hillside,8165,3855,4310,2797,3943,58,82,0,1475,2586,5579,53728,40.2,196001.5,0,0,0,0,0,0,0,0,41.8778084,-87.9028398
Marietta,385,210,175,359,26,1,0,0,0,1,384,72992,56.2,47679.42,0,0,0,0,0,0,0,0,40.5011518,-90.3926259
Braidwood,5649,3049,2600,5610,54,114,7,0,13,258,5391,65559,39.3,162155.67,0,5,0,6,9,33,3,2,41.2650318,-88.2122823
Elizabeth,2051,1018,1033,2024,17,4,2,6,18,15,2036,49189,50.4,117983.25,0,0,0,0,1,4,0,0,42.3177911,-90.221517
Beaverville,521,280,241,487,20,2,1,0,11,12,509,45313,49.5,64777.42,0,0,0,0,0,0,0,0,40.954478,-87.6544781
Fairview,658,326,332,647,5,0,0,6,0,32,626,72188,44.3,71535,0,0,0,0,0,0,0,0,40.6333724,-90.1637318
Roberts,645,355,290,632,10,3,0,0,8,22,623,42083,38.1,48876.58,0,0,0,0,0,0,0,0,40.6128127,-88.1833798
Creston,339,165,174,284,12,4,5,4,39,67,272,60156,35.5,113327.92,0,0,0,0,0,0,0,0,41.9308618,-88.9645382
Mokena,26710,13600,13110,25650,377,129,675,22,376,1498,25212,104327,40.4,293471.75,0,2,4,5,31,240,24,0,41.5261437,-87.8892189
Rio,517,293,224,506,10,0,3,0,0,37,480,72727,56.3,106608.17,0,0,0,0,0,0,0,0,41.1092036,-90.399851
East Dubuque,4645,2525,2120,4563,58,6,49,12,10,25,4620,62208,43.1,151943.58,0,0,1,2,3,13,1,0,42.4922253,-90.6429054
Minooka,14220,6775,7445,13204,355,34,177,17,666,2395,11825,75485,33.8,212605.75,0,0,0,0,0,0,0,0,41.4553084,-88.2617305
Garden Prairie,1149,638,511,1149,0,0,0,0,0,76,1073,79598,50.3,194221.08,0,0,0,0,0,0,0,0,42.25083426,-88.71988959
Peoria Heights,5910,2746,3164,5577,734,54,22,0,19,102,5808,44037,36.3,71437.58,0,7,0,11,21,49,20,0,40.7472594,-89.5739845
Willowbrook,27903,13561,14342,21810,2324,0,4310,0,153,1371,26532,94060,46.6,527717.67,0,0,0,0,0,0,0,0,41.457813,-87.5364288
Atlanta,2595,1322,1273,2568,2,124,12,0,20,118,2477,64453,40.1,107938.92,0,0,0,0,0,0,0,0,40.2594846,-89.2334236
Monee,9400,4498,4902,7323,1559,0,354,0,405,785,8615,74568,44.4,206345.08,0,0,0,0,0,0,0,0,41.420034,-87.7417115
Andalusia,1229,632,597,1209,27,3,0,0,3,10,1219,64500,48,121353.75,0,0,0,0,0,0,0,0,41.4391986,-90.717641
Muncie,195,106,89,195,0,0,0,0,0,0,195,32500,37.9,63831.33,0,0,0,0,0,0,0,0,40.1155911,-87.844751
Lyndon,934,497,437,919,0,0,3,0,14,16,918,44792,37.8,81336.58,0,0,0,0,0,0,0,0,41.7175302,-89.9259481
Industry,690,350,340,686,0,8,0,0,4,8,682,64063,44,54621.25,0,0,0,0,0,0,0,0,40.3278211,-90.607073
West Brooklyn,333,176,157,333,0,0,0,0,0,2,331,47000,59.2,124353.5,0,0,0,0,0,0,0,0,41.6928094,-89.1470351
South Wilmington,986,506,480,986,0,7,3,0,0,53,933,69688,36.7,119989.08,0,0,0,0,0,0,0,0,41.17281,-88.276726
South Pekin,962,440,522,959,6,2,3,0,0,3,959,49934,32.8,71325.67,0,0,0,0,9,24,3,0,40.4944838,-89.6517711
