zipcode,total_pop,male,female,med_age,race_w,race_aa,race_nat,race_as,race_api,race_oth,eth_hisp,eth_nonhisp
60172,24551,11939,12612,40.3,20814,1261,515,2317,57,380,2506,22045
60173,12162,6068,6094,33.8,6167,572,89,5173,34,674,958,11204
60174,31405,14557,16848,43.3,28493,721,320,931,0,1590,3824,27581
60175,25734,13277,12457,41.7,24258,503,129,1263,66,181,1023,24711
60176,11704,6071,5633,40.8,9788,156,510,838,0,1177,2894,8810
60177,23109,11520,11589,36.3,19709,969,165,1591,31,1354,4238,18871
60178,22413,10927,11486,37.7,20846,914,109,561,0,453,1647,20766
60180,2077,988,1089,40.1,2074,3,0,0,0,0,34,2043
60181,28801,14226,14575,37.9,23324,1850,150,3069,20,1237,6476,22325
60184,2357,1160,1197,50.4,2182,0,0,175,0,0,39,2318
60185,36129,18710,17419,35.8,28466,799,383,2469,0,4655,16417,19712
60187,29708,14787,14921,34.8,26495,1370,196,2194,72,278,1606,28102
60188,42602,20943,21659,38,29382,3324,333,8380,59,1983,6156,36446
60189,30427,14713,15714,40.7,26737,1664,166,2419,153,308,1860,28567
60190,11143,5620,5523,49.2,10444,278,73,509,11,135,461,10682
60191,14147,7117,7030,41,11451,266,32,1134,160,1341,3325,10822
60192,15650,7798,7852,42.4,10282,305,151,4999,39,457,862,14788
60193,40248,19674,20574,41.1,29698,1455,506,7624,162,1718,4037,36211
60194,18946,9011,9935,39.9,11616,912,261,4479,0,2363,3051,15895
60195,5568,2476,3092,32.4,2333,284,0,2710,0,349,383,5185
60201,42296,20122,22174,31.6,30637,6253,267,5656,78,964,4205,38091
60202,32861,14994,17867,39.5,22322,7466,211,2589,37,1806,4632,28229
60203,4188,1855,2333,42.7,3117,541,54,524,0,73,210,3978
60301,2536,1142,1394,45.3,1553,656,9,351,0,75,309,2227
60302,32048,15135,16913,40.8,23314,6886,219,2312,106,817,2572,29476
60304,17641,8299,9342,37,13661,3152,236,1163,23,512,1699,15942
60305,11064,5383,5681,41.3,9598,768,58,676,0,246,650,10414
60401,7779,3882,3897,44.4,7566,39,28,0,0,180,528,7251
60402,63554,31612,31942,35.5,37987,4595,612,2431,65,19998,39477,24077
60403,18254,9650,8604,39.1,13420,3590,252,769,0,909,3334,14920
60404,18796,8945,9851,41.5,16550,1081,127,822,0,858,2277,16519
60406,25256,12482,12774,33.6,12796,7400,609,349,0,5150,12740,12516
60407,1696,898,798,37.9,1677,6,23,8,3,9,97,1599
60408,5649,3049,2600,39.3,5610,54,114,7,0,13,258,5391
60409,36955,16050,20905,37.1,8642,27669,348,82,39,596,5596,31359
60410,12791,6523,6268,37,12283,138,167,99,0,280,1254,11537
