city_name,county_name,lat,long
Cissna Park,Iroquois,40.5647578,-87.8930897
Olmsted,Pulaski,37.1806073,-89.0889609
Washington,Tazewell,40.7036482,-89.4073123
Antioch,Lake,42.4772418,-88.0956396
Coal City,Grundy,41.2878097,-88.2856185
Columbia,Monroe,38.4436637,-90.2012239
Princeville,Peoria,40.9297591,-89.7576022
O'Fallon,Saint Clair,38.5922715,-89.9112124
North Utica,La Salle,41.3405897,-89.010081
Coyne Center,Rock Island,41.4047561,-90.5593018
Hazel Green,Cook,41.6833666,-87.7400512
Round Lake,Lake,42.353355,-88.0934145
Wenona,Marshall,41.0525331,-89.0503587
Mettawa,Lake,42.2333571,-87.9259058
Lisle,DuPage,41.801141,-88.0747875
Bardolph,McDonough,40.4950406,-90.5645735
Royal,Champaign,40.1928126,-87.9728126
Waggoner,Montgomery,39.3775509,-89.6531496
Marissa,Saint Clair,38.2500481,-89.7500988
Equality,Gallatin,37.733936,-88.343376
Vernon,Marion,38.8022697,-89.0870086
Kangley,La Salle,41.1458671,-88.873687
Carlock,McLean,40.5822588,-89.1320251
Naperville,DuPage,41.7858629,-88.1472893
New Boston,Mercer,41.1703108,-90.9968113
Hoffman Estates,Cook,42.0428052,-88.079795
Gladstone,Henderson,40.864483,-90.9612528
Olivet,Vermilion,39.9419808,-87.6436329
Alma,Marion,38.7217147,-88.9092242
Robinson,Crawford,39.0053201,-87.7391936
Hanover,Jo Daviess,42.2564051,-90.2795734
Sun River Terrace,Kankakee,41.1269773,-87.7355936
Bourbonnais,Kankakee,41.1416991,-87.8750429
Cairo,Alexander,37.0053293,-89.1764608
Eagarville,Macoupin,39.1121205,-89.7831556
Carol Stream,DuPage,41.9125286,-88.1347927
Spillertown,Williamson,37.7664385,-88.9195138
Niantic,Macon,39.8539297,-89.1661942
Nebo,Pike,39.4425478,-90.7909612
Bridgeview,Cook,41.7500323,-87.8042216
Grandview,Edgar,39.541146,-87.8461422
Old Ripley,Bond,38.8961577,-89.5700865
Hillsboro,Montgomery,39.1611586,-89.4936989
Garrett,Douglas,39.7986437,-88.4242216
Downers Grove,DuPage,41.8089191,-88.0111746
Oak Run,Knox,40.963371,-90.1451196
Vermont,Fulton,40.2942106,-90.4279033
Robbins,Cook,41.6439227,-87.7036602
Little York,Warren,41.0111483,-90.7462496
Broadwell,Logan,40.0681021,-89.4431552
Mount Clare,Macoupin,39.0986579,-89.8262077
Normal,McLean,40.5142026,-88.9906312
Dundas,Richland,38.835046,-88.0850374
Manito,Mason,40.4258736,-89.7792762
Germantown,Clinton,38.5536601,-89.5384209
New Burnside,Johnson,37.579217,-88.770894
Taylorville,Christian,39.548935,-89.294533
Lebanon,Saint Clair,38.6039375,-89.8073195
Golden,Adams,40.1092135,-91.0176357
Hecker,Monroe,38.3050504,-89.9942731
Mossville,Peoria,40.8155926,-89.5678728
Jeisyville,Christian,39.5772711,-89.4050918
Valmeyer,Monroe,38.3056095,-90.2765056
Pontiac,Livingston,40.8808666,-88.6297839
Tennessee,McDonough,40.4119867,-90.8393002
Lake Villa,Lake,42.4169651,-88.0739708
Manhattan,Will,41.4225316,-87.9858863
Metcalf,Edgar,39.8011461,-87.8072504
Sailor Springs,Clay,38.7639362,-88.3631008
Galena,Jo Daviess,42.4166744,-90.4290168
Loda,Iroquois,40.5175349,-88.0719857
Latham,Logan,39.9686517,-89.1623092
Indian Creek,Lake,42.2269684,-87.9797968
New Milford,Winnebago,42.1869669,-89.0678813
Sullivan,Moultrie,39.599479,-88.6078392
Streator,La Salle,41.1208668,-88.835352
Crescent City,Iroquois,40.7700351,-87.8589251
Edgar,Edgar,39.7555908,-87.7011362
Wyoming,Stark,41.0617037,-89.7731578
Rome,Peoria,40.8830925,-89.502592
McNabb,Putnam,41.1769799,-89.2092522
Union,McHenry,42.2330782,-88.5423132
Watson,Effingham,39.0253213,-88.5697716
Osman,McLean,40.2958666,-88.4720035
Lincoln,Logan,40.1483768,-89.3648183
Congerville,Woodford,40.6169813,-89.2042501
Salem,Marion,38.6269929,-88.9456158
Lily Lake,Kane,41.948916,-88.4778586
Moweaqua,Shelby,39.6247614,-89.0189684
Roxana,Madison,38.8483812,-90.0762172
Burr Ridge,DuPage,41.7489203,-87.9183919
Brimfield,Peoria,40.838926,-89.8864976
Lawndale,Logan,40.2180969,-89.2825925
Langleyville,Christian,39.5622698,-89.3553682
Lily Cache,Will,41.5903081,-88.1814523
Claremont,Richland,38.7194921,-87.9714232
Knoxville,Knox,40.9083715,-90.2848476
Gard,Madison,38.8622693,-89.960102
La Harpe,Hancock,40.5833749,-90.9693057
Hainesville,Lake,42.3450219,-88.067858
Hennepin,Putnam,41.2542033,-89.3423112
Smithboro,Bond,38.8961575,-89.3406323
Bush,Williamson,37.8433836,-89.13119
Medinah,DuPage,41.9814174,-88.0511813
Bentley,Hancock,40.3444891,-91.1118074
Standard,Putnam,41.2567026,-89.1809185
La Fayette,Stark,41.1096063,-89.9735218
Allerton,Vermilion,39.9161024,-87.9352579
Mount Pulaski,Logan,40.0108767,-89.282314
Mascoutah,Saint Clair,38.490327,-89.793154
Lakewood,DuPage,41.9166949,-88.1975725
Bellwood,Cook,41.8814197,-87.883117
Plainville,Adams,39.7858798,-91.1854191
Hidalgo,Jasper,39.1558732,-88.1469826
Mansfield,Piatt,40.211422,-88.5061721
Oakdale,Washington,38.2617174,-89.5014792
Ferris,Hancock,40.4689327,-91.1704225
Foosland,Champaign,40.3614224,-88.4281125
Glen Carbon,Madison,38.7483814,-89.983158
Deerfield,Lake,42.1711365,-87.8445119
Plattville,Kendall,41.531697,-88.3814575
East Moline,Rock Island,41.5008673,-90.4442979
Goodfield,Woodford,40.6297593,-89.2748084
Potomac,Vermilion,40.305036,-87.8005829
Oakbrook Terrace,DuPage,41.8500302,-87.9645077
Vermilion,Edgar,39.5811463,-87.5889125
Hookdale,Bond,38.8264359,-89.3114637
Glenview,Cook,42.0697509,-87.7878408
Chemung,McHenry,42.4152964,-88.6667668
Mason City,Mason,40.2022663,-89.6981639
Rondout,Lake,42.2800229,-87.89535
Oglesby,La Salle,41.2953127,-89.0595266
Meppen,Calhoun,38.9969935,-90.6048425
Reevesville,Johnson,37.3431083,-88.7197771
Chauncey,Lawrence,38.8353234,-87.8708645
Blue Mound,Macon,39.7011516,-89.1231356
Livingston,Madison,38.9675463,-89.7639828
Alton,Madison,38.8906038,-90.1842764
Donovan,Iroquois,40.883368,-87.6161428
Cobden,Union,37.5314386,-89.253418
Lotus Woods,Lake,42.4219647,-88.1731413
Auburn,Sangamon,39.5917197,-89.7464874
Sciota,McDonough,40.5608731,-90.7517996
Rantoul,Champaign,40.3083672,-88.1558785
Pontoon Beach,Madison,38.7317158,-90.0803839
Chrisman,Edgar,39.8036467,-87.673635
Cave-In-Rock,Hardin,37.4707463,-88.1659319
Scarboro,Lee,41.7814185,-89.0342586
Rosemont,Cook,41.9953077,-87.8845092
Cherry Hill,Will,41.5233645,-88.0145005
Forrest,Livingston,40.7519792,-88.4111647
Poplar Grove,Boone,42.3683522,-88.822047
Orland Park,Cook,41.6303103,-87.8539425
Glendale Heights,DuPage,41.9103068,-88.0717353
Bradley,Kankakee,41.1419768,-87.8611535
Ivesdale,Champaign,39.9433658,-88.4553363
Cambria,Williamson,37.7814392,-89.1192454
Keeneyville,DuPage,41.9675282,-88.1203496
Maunie,White,38.0356015,-88.0455883
Junction,Gallatin,37.72338,-88.2367046
Carbondale,Jackson,37.7272727,-89.2167501
Wauconda,Lake,42.2589122,-88.1392474
Plano,Kendall,41.6628076,-88.5370197
Cleveland,Henry,41.5061454,-90.3148479
Barnhill,Wayne,38.2844921,-88.3642131
Karnak,Pulaski,37.2936633,-88.9753462
Fulton,Whiteside,41.8672508,-90.1595705
Warsaw,Hancock,40.359211,-91.4345978
Dalton City,Moultrie,39.7119804,-88.8045162
Villa Park,DuPage,41.8897519,-87.9889543
Clear Lake,Sangamon,39.8136611,-89.5687083
Tovey,Christian,39.5889391,-89.4562045
Southern View,Sangamon,39.757273,-89.65371
South Holland,Cook,41.6008681,-87.6069894
Secor,Woodford,40.7419799,-89.1353567
Hometown,Cook,41.7344774,-87.731441
Freeburg,Saint Clair,38.4275499,-89.913714
Carbon Cliff,Rock Island,41.4947564,-90.3906844
Symerton,Will,41.3286426,-88.0525539
