zipcode,zhvi
61737,128544.67
61738,131423.58
61739,114509.33
61740,96919.17
61741,92345.17
61742,247869.25
61743,119408.92
61744,112821.08
61745,163030.58
61747,124495.67
61748,191283.67
61749,77638.92
61750,67665.92
61751,67263.00
61752,127786.67
61753,142664.00
61754,115498.58
61755,152560.00
61756,99530.67
61759,112873.00
61760,79760.17
61761,164404.50
61764,100024.33
61769,77399.42
61770,92059.00
61771,143718.83
61772,134445.50
61773,68746.33
61774,97693.33
61775,70447.67
61776,168618.50
61777,110235.42
61778,72264.25
61801,131395.92
61802,127001.42
61810,89129.17
61811,80618.17
61812,68940.92
61813,78285.17
61814,111396.25
61815,116035.33
61816,96571.25
61817,99805.58
61818,94771.25
61820,112202.25
61821,122802.33
61822,219052.25
61830,100808.08
61831,106399.33
61832,54714.00
61833,51028.83
61834,118230.08
61839,89064.58
61840,191289.75
61841,102486.08
61842,105040.08
61843,144026.50
61844,99500.17
61845,109745.75
61846,54009.17
61847,135050.33
61848,42825.58
61849,108426.92
61850,54744.75
61851,107793.83
61852,77029.25
61853,205113.42
61854,136921.75
61856,169863.67
61857,63831.33
61858,108128.00
61859,130281.67
61862,108107.92
61863,129452.58
61864,152891.50
61865,78225.25
61866,67382.67
61870,57829.25
61871,137896.75
61872,112012.42
61873,171955.67
61874,255326.25
61875,169747.67
61876,55192.67
61877,146140.92
61878,84591.83
61880,146170.25
61882,78492.42
61883,67015.67
61884,227478.25
61910,96092.58
61911,124285.50
61912,72656.42
61913,78523.83
61914,87945.92
61917,39918.92
61919,125128.00
61920,96020.00
61924,58323.75
61925,120025.17
61928,102186.92
61929,87010.33
61930,60189.25
61931,74084.33
61932,51564.33
61933,58184.25
61936,63707.67
61937,80418.25
61938,73881.50
61940,33546.75
61942,58205.75
61943,76016.67
61944,63562.17
61949,58255.50
61951,108929.75
61953,118078.25
61956,78358.58
61957,78887.42
62001,176612.58
62002,72209.83
62006,138815.67
62009,48658.08
62010,127912.00
62012,127365.00
62013,115646.17
62014,102309.58
62015,84837.83
62016,80930.50
62017,63654.17
62018,66474.58
62019,86657.58
62021,175099.33
62022,135873.25
62024,84578.75
62025,211501.67
62027,107081.92
62028,119107.17
62031,73542.33
62032,51152.08
62033,59794.00
62034,216746.33
62035,136858.25
62037,150495.58
62040,72845.42
62044,66080.00
62045,106569.75
62046,170550.83
62047,94846.33
62048,62665.83
62049,70314.33
62050,112841.67
62051,66237.42
62052,103834.25
62053,65722.08
62054,58622.92
62056,80716.08
62058,85206.25
62059,40563.67
62061,160762.50
62062,213146.25
62063,114393.42
62067,147436.67
62069,62820.75
62074,127314.67
62075,57639.17
62076,46680.50
62077,37200.33
62079,182283.42
62080,72067.50
62082,38623.08
62083,86781.00
62084,70849.00
62085,43651.92
62086,71029.92
62087,59908.75
62088,99809.33
62089,52768.92
62091,80258.92
62092,51257.83
62093,35967.42
62094,36698.42
62095,78246.58
62097,193029.25
62203,29597.17
62206,39027.40
62208,118651.67
62214,127963.58
62215,160680.92
62216,180975.17
62217,66839.58
62218,157665.67
62219,86429.42
62220,95103.58
62221,150833.58
62223,103873.33
62226,110028.92
62230,159489.67
62231,120798.00
62232,80315.08
62233,72552.08
62234,127385.50
62236,208990.25
62237,125847.25
62238,55662.71
62239,82188.92
62240,43537.08
62241,86342.42
62242,73790.50
62243,166734.08
62244,173716.33
62245,144862.08
62246,106598.08
62248,125181.08
62249,173156.58
62250,97291.67
62252,78978.58
62253,69194.08
62254,129074.25
62255,80773.33
62256,121514.83
62257,76541.92
62258,159320.25
62260,183145.00
62262,77231.08
62263,114817.33
62264,96346.08
62265,146719.08
62266,101745.00
62268,135270.17
62269,203508.75
62271,118068.17
62272,58425.58
62273,103085.83
62274,75258.50
62275,134878.92
62277,107857.33
62278,157162.67
62279,47185.83
62280,84508.17
62281,213104.42
62282,120216.00
62284,99917.58
62285,207353.92
62286,80535.33
62288,88801.67
62289,54897.92
62292,56637.33
62293,164737.75
62294,202542.25
62295,157081.00
62297,94772.17
62298,192875.25
62301,100167.42
62305,184325.50
62311,50450.25
62312,62610.83
62314,59478.50
62316,54884.42
62320,111304.33
62321,82740.58
62323,76689.17
62324,72724.17
62325,92033.58
62326,54612.58
62330,64467.42
62338,128016.58
62339,87625.92
62340,70236.42
62341,97905.33
62343,56304.00
62345,61299.25
62347,112110.00
62349,78622.92
62351,94355.08
62352,48529.50
62354,96200.67
62355,46830.42
62356,57429.42
62357,68406.75
62358,77213.42
62359,106045.58
62360,95809.67
62361,74124.17
62362,43193.25
62363,86118.67
62365,79070.92
62366,60704.50
62367,49629.33
62370,54588.33
62373,86726.58
62374,34489.17
62376,113343.50
62379,77346.25
62401,148692.25
62410,70443.08
62411,99453.75
62413,86503.92
62414,70855.08
62417,46313.75
62418,74844.33
62419,85146.58
62420,71098.17
62421,88859.25
62422,76991.42
62423,106442.83
62424,121842.50
62425,124704.25
62426,52198.08
62427,64768.42
62428,75258.58
62431,82752.67
62432,72573.83
62433,66209.25
62434,59924.92
62436,74957.75
62438,94631.75
62439,52450.83
62440,101562.50
62441,106755.50
62442,69229.33
62443,86864.92
62444,135609.58
62445,72808.42
62447,103757.75
62448,70094.25
62449,73894.42
62450,88751.67
62451,55191.67
62454,90717.50
62458,69953.75
62459,71618.83
62460,40366.42
62461,109580.17
62462,127903.58
62463,100752.67
62465,91892.67
62466,39314.92
62467,167610.92
62468,78900.33
62469,77227.00
62471,80212.42
62473,88259.58
62474,59285.25
62476,53275.50
62477,70039.92
62478,106173.67
62479,90716.33
62480,60096.00
62481,56292.50
62501,127942.92
62510,73010.42
62512,99478.67
62513,94254.67
62514,63037.67
62515,114886.17
62517,40932.67
62518,76802.42
62519,71786.00
62520,148165.67
62521,98180.33
62522,64931.42
62523,112773.17
62526,66070.83
62530,108799.42
62531,99609.42
62532,76560.83
62533,95769.33
62534,86634.33
62535,246681.33
